Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,text,culture,scale,typeName,Mean,Error,StdDev,Median
RecognizeAge,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Cuand(...)ecas. [68],Spanish,x1,age,16.98 ms,79.66 ms,52.69 ms,0.2529 ms
RecognizeAge,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Cuand(...)ecas. [680],Spanish,x10,age,20.85 ms,86.85 ms,57.45 ms,2.7428 ms
RecognizeAge,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Cuand(...)ecas. [6800],Spanish,x100,age,38.79 ms,76.97 ms,50.91 ms,23.0177 ms
RecognizeTemperature,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Drauß(...)sius. [28],German,x1,temperature,20.51 ms,95.95 ms,63.47 ms,0.4463 ms
RecognizeTemperature,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Drauß(...)sius. [280],German,x10,temperature,21.71 ms,89.47 ms,59.18 ms,3.1587 ms
RecognizeTemperature,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Drauß(...)sius. [2800],German,x100,temperature,103.97 ms,96.96 ms,64.14 ms,82.7136 ms
RecognizeTemperature,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,La te(...)lsius [47],Spanish,x1,temperature,18.77 ms,87.76 ms,58.05 ms,0.3442 ms
RecognizeTemperature,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,La te(...)lsius [470],Spanish,x10,temperature,21.55 ms,87.46 ms,57.85 ms,3.1587 ms
RecognizeTemperature,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,La te(...)lsius [4700],Spanish,x100,temperature,122.99 ms,86.02 ms,56.90 ms,104.5074 ms
RecognizeTemperature,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,La te(...)lsius [45],French,x1,temperature,19.69 ms,91.90 ms,60.78 ms,0.3282 ms
RecognizeTemperature,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,La te(...)lsius [450],French,x10,temperature,22.77 ms,92.40 ms,61.12 ms,2.9744 ms
RecognizeTemperature,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,La te(...)lsius [4500],French,x100,temperature,141.43 ms,106.66 ms,70.55 ms,121.9037 ms
RecognizeAge,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Quand(...)lette [65],French,x1,age,16.97 ms,78.14 ms,51.68 ms,0.6972 ms
RecognizeAge,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Quand(...)lette [650],French,x10,age,21.37 ms,81.60 ms,53.98 ms,4.6547 ms
RecognizeAge,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Quand(...)lette [6500],French,x100,age,55.09 ms,76.99 ms,50.92 ms,39.2707 ms
RecognizeAge,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Quand(...)etta. [57],Italian,x1,age,16.95 ms,78.74 ms,52.08 ms,0.4750 ms
RecognizeAge,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Quand(...)etta. [570],Italian,x10,age,19.07 ms,79.07 ms,52.30 ms,2.2959 ms
